date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,soil_moisture,soil_temp,et
2016-05-01,34,-1,1005.63,24,4,43,26,9,-10,1009,999,0,50,45,133
2016-05-02,36,4,1005.46,21,6,43,29,10,-2,1008,1001,0,62,39,130.8
2016-05-03,35,6,1006,27,5,41,29,12,-2,1009,1000,0,53,40,137.2
2016-05-04,34,7,1005.65,29,6,41,27,13,0,1008,1001,0,61,31,150.5
2016-05-05,31,11,1007.94,61,13,38,24,16,6,1011,1003,5,50,42,136.7
2016-05-06,28,13,1008.39,69,18,34,21,17,9,1011,1004,0,52,40,136.4
2016-05-07,30,10,1007.62,50,8,38,23,14,6,1010,1002,0,71,27,143.3
2016-05-08,34,8,1006.73,32,7,41,26,12,6,1010,1002,0,62,26,118.3
2016-05-09,34,11,1005.75,45,7,42,27,16,7,1008,1000,0.3,51,41,124.8
2016-05-10,34,16,1007.1,51,12,41,27,18,13,1010,1002,0.8,78,17,149
2016-05-11,32,16,1006.78,66,16,40,25,22,10,1011,1001,2,78,33,127.1
2016-05-12,34,13,1003.83,58,9,42,27,20,10,1007,998,0.3,79,20,153.8
2016-05-13,34,11,1003.56,40,9,42,26,16,7,1006,998,0,58,27,150.2
2016-05-14,35,13,1004.74,48,8,42,28,19,10,1007,1000,0,73,20,136.5
2016-05-15,36,12,1005.02,40,7,44,29,16,9,1008,1001,0,60,41,144
2016-05-16,36,13,1003.68,51,6,43,28,19,7,1006,999,3,62,16,147.5
2016-05-17,35,13,1001.58,42,8,44,26,16,10,1010,995,0,62,25,121.9
2016-05-18,36,11,999.88,45,5,45,27,17,6,1002,994,0,77,24,126.5
2016-05-19,38,6,998.96,33,4,46,29,13,-2,1002,994,0,66,45,144.5
2016-05-20,38,10,997.92,38,4,46,30,18,0,1001,992,0,64,27,139.4
2016-05-21,38,12,998.41,30,6,45,32,17,3,1001,992,0,56,40,130.7
2016-05-22,38,16,999.88,46,10,44,31,21,8,1003,995,0,72,29,138.4
2016-05-23,34,18,1001.13,69,18,42,25,21,15,1006,994,0.5,78,32,130.2
2016-05-24,32,16,1002.15,74,14,40,23,20,12,1005,996,0,73,28,150.3
2016-05-25,34,17,1000.02,51,16,40,28,20,15,1003,994,0,71,22,121.9
2016-05-26,34,16,1001.7,46,14,40,28,19,13,1004,997,0,57,22,146.7
2016-05-27,36,13,1003.43,40,7,42,30,18,7,1006,998,0,62,22,153.5
2016-05-28,35,16,1003.17,46,15,40,30,20,13,1009,997,0,54,31,155.7
2016-05-29,33,16,1002.18,48,16,41,25,18,13,1005,996,0,54,24,128.6
